activity_id,activity_name,destination_id,destination_name,category,price
A001,Snorkel,D001,Cancun,playa,800
A002,Museo Louvre,D002,Paris,ciudad,650
A003,Tour Shibuya,D003,Tokio,ciudad,500
A004,Machu Picchu,D004,Cusco,montana,1200
A005,Museo Prado,D005,Madrid,ciudad,400
A006,Paseo en yate,D006,Los Cabos,playa,1800
A007,Ruta historica Bariloche 007,D007,Bariloche 007,montana,2329
A008,Mercado local Roma 008,D008,Roma 008,ciudad,2102
A009,Mirador Bangkok 009,D009,Bangkok 009,ciudad,364
A010,Tour fotografico Vancouver 010,D010,Vancouver 010,naturaleza,509
A011,Cata regional Cancun 011,D001,Cancun 011,playa,2065
A012,Bicicleta Paris 012,D002,Paris 012,ciudad,1583
A013,Snorkel Tokio 013,D003,Tokio 013,ciudad,2320
A014,Museo Cusco 014,D004,Cusco 014,montana,2347
A015,Tour urbano Madrid 015,D005,Madrid 015,ciudad,1066
A016,Senderismo Los Cabos 016,D006,Los Cabos 016,playa,1385
A017,Clase de cocina Bariloche 017,D007,Bariloche 017,montana,2102
A018,Paseo en yate Roma 018,D008,Roma 018,ciudad,2331
A019,Ruta historica Bangkok 019,D009,Bangkok 019,ciudad,2434
A020,Mercado local Vancouver 020,D010,Vancouver 020,naturaleza,2208
A021,Mirador Cancun 021,D001,Cancun 021,playa,2329
A022,Tour fotografico Paris 022,D002,Paris 022,ciudad,1264
A023,Cata regional Tokio 023,D003,Tokio 023,ciudad,2393
A024,Bicicleta Cusco 024,D004,Cusco 024,montana,1313
A025,Snorkel Madrid 025,D005,Madrid 025,ciudad,1079
A026,Museo Los Cabos 026,D006,Los Cabos 026,playa,2083
A027,Tour urbano Bariloche 027,D007,Bariloche 027,montana,811
A028,Senderismo Roma 028,D008,Roma 028,ciudad,1956
A029,Clase de cocina Bangkok 029,D009,Bangkok 029,ciudad,748
A030,Paseo en yate Vancouver 030,D010,Vancouver 030,naturaleza,1857
A031,Ruta historica Cancun 031,D001,Cancun 031,playa,2060
A032,Mercado local Paris 032,D002,Paris 032,ciudad,1544
A033,Mirador Tokio 033,D003,Tokio 033,ciudad,547
A034,Tour fotografico Cusco 034,D004,Cusco 034,montana,1235
A035,Cata regional Madrid 035,D005,Madrid 035,ciudad,2004
A036,Bicicleta Los Cabos 036,D006,Los Cabos 036,playa,549
A037,Snorkel Bariloche 037,D007,Bariloche 037,montana,1121
A038,Museo Roma 038,D008,Roma 038,ciudad,1490
A039,Tour urbano Bangkok 039,D009,Bangkok 039,ciudad,751
