destination_id,destination_name,location,country,code,region,category
D001,Cancun,Quintana Roo,Mexico,MX,America Norte,playa
D002,Paris,Ile de France,Francia,FR,Europa,ciudad
D003,Tokio,Kanto,Japon,JP,Asia,ciudad
D004,Cusco,Cusco,Peru,PE,America Sur,montana
D005,Madrid,Madrid,Espana,ES,Europa,ciudad
D006,Los Cabos,Baja California Sur,Mexico,MX,America Norte,playa
D007,Bariloche 007,Rio Negro,Argentina,AR,America Sur,montana
D008,Roma 008,Lazio,Italia,IT,Europa,ciudad
D009,Bangkok 009,Bangkok,Tailandia,TH,Asia,ciudad
D010,Vancouver 010,British Columbia,Canada,CA,America Norte,naturaleza
D011,Cancun 011,Quintana Roo,Mexico,MX,America Norte,playa
D012,Paris 012,Ile de France,Francia,FR,Europa,ciudad
D013,Tokio 013,Kanto,Japon,JP,Asia,ciudad
D014,Cusco 014,Cusco,Peru,PE,America Sur,montana
D015,Madrid 015,Madrid,Espana,ES,Europa,ciudad
D016,Los Cabos 016,Baja California Sur,Mexico,MX,America Norte,playa
D017,Bariloche 017,Rio Negro,Argentina,AR,America Sur,montana
D018,Roma 018,Lazio,Italia,IT,Europa,ciudad
D019,Bangkok 019,Bangkok,Tailandia,TH,Asia,ciudad
D020,Vancouver 020,British Columbia,Canada,CA,America Norte,naturaleza
D021,Cancun 021,Quintana Roo,Mexico,MX,America Norte,playa
D022,Paris 022,Ile de France,Francia,FR,Europa,ciudad
D023,Tokio 023,Kanto,Japon,JP,Asia,ciudad
D024,Cusco 024,Cusco,Peru,PE,America Sur,montana
D025,Madrid 025,Madrid,Espana,ES,Europa,ciudad
D026,Los Cabos 026,Baja California Sur,Mexico,MX,America Norte,playa
D027,Bariloche 027,Rio Negro,Argentina,AR,America Sur,montana
D028,Roma 028,Lazio,Italia,IT,Europa,ciudad
D029,Bangkok 029,Bangkok,Tailandia,TH,Asia,ciudad
D030,Vancouver 030,British Columbia,Canada,CA,America Norte,naturaleza
D031,Cancun 031,Quintana Roo,Mexico,MX,America Norte,playa
D032,Paris 032,Ile de France,Francia,FR,Europa,ciudad
D033,Tokio 033,Kanto,Japon,JP,Asia,ciudad
D034,Cusco 034,Cusco,Peru,PE,America Sur,montana
D035,Madrid 035,Madrid,Espana,ES,Europa,ciudad
D036,Los Cabos 036,Baja California Sur,Mexico,MX,America Norte,playa
D037,Bariloche 037,Rio Negro,Argentina,AR,America Sur,montana
D038,Roma 038,Lazio,Italia,IT,Europa,ciudad
D039,Bangkok 039,Bangkok,Tailandia,TH,Asia,ciudad
D040,Vancouver 040,British Columbia,Canada,CA,America Norte,naturaleza
D041,Cancun 041,Quintana Roo,Mexico,MX,America Norte,playa
D042,Paris 042,Ile de France,Francia,FR,Europa,ciudad
