id_flight,airline,origin,destination_id,destination_name,departure_date,price,available_seats
F001,Iberia,Guadalajara,D026,Los Cabos 026,2026-09-29,9800.699999999999,33
F002,Aeromexico,Guadalajara,D035,Madrid 035,2026-05-09,3572.7999999999997,36
F003,Viva,Guadalajara,D066,Los Cabos 066,2026-08-17,14503.999999999998,26
F004,Viva,Guadalajara,D089,Bangkok 089,2026-06-25,12432.699999999999,4
F005,Iberia,Guadalajara,D002,Paris,2026-08-09,5087.599999999999,33
F006,Iberia,Guadalajara,D077,Bariloche 077,2026-01-24,6763.4,29
F007,Iberia,Guadalajara,D034,Cusco 034,2026-10-08,3939.95,14
F008,Iberia,Guadalajara,D024,Cusco 024,2026-07-15,9547.65,13
F009,Aeromexico,Guadalajara,D065,Madrid 065,2026-05-16,6449.799999999999,38
F010,Iberia,Guadalajara,D051,Cancun 051,2026-06-05,5087.599999999999,34
F011,Iberia,Guadalajara,D085,Madrid 085,2026-09-11,6470.099999999999,33
F012,ANA,Guadalajara,D094,Cusco 094,2026-09-16,8424.15,2
F013,Aeromexico,Guadalajara,D018,Roma 018,2026-07-12,4314.45,35
F014,Aeromexico,Guadalajara,D063,Tokio 063,2026-08-22,14686.699999999999,6
F015,Iberia,Guadalajara,D096,Los Cabos 096,2026-02-08,8535.1,15
F016,Aeromexico,Guadalajara,D064,Cusco 064,2026-09-03,4222.05,13
F017,Iberia,Guadalajara,D077,Bariloche 077,2026-05-11,6210.75,31
F018,Aeromexico,Guadalajara,D063,Tokio 063,2026-04-22,9821.349999999999,19
F019,Aeromexico,Guadalajara,D060,Vancouver 060,2026-10-09,5119.099999999999,2
F020,ANA,Guadalajara,D059,Bangkok 059,2026-08-19,7962.849999999999,5
F021,Iberia,Guadalajara,D019,Bangkok 019,2026-03-09,5734.4,15
F022,Air France,Guadalajara,D115,Madrid 115,2026-01-13,14428.05,26
F023,Air France,Guadalajara,D094,Cusco 094,2026-06-26,5923.049999999999,1
F024,Air France,Guadalajara,D097,Bariloche 097,2026-03-03,3418.7999999999997,17
F025,Air France,Guadalajara,D009,Bangkok 009,2026-10-29,12968.199999999999,4
F026,Iberia,Guadalajara,D014,Cusco 014,2026-11-22,8868.65,28
F027,Air France,Guadalajara,D025,Madrid 025,2026-01-15,15747.9,6
F028,Air France,Guadalajara,D120,Vancouver 120,2026-11-11,9714.599999999999,4
F029,Air France,Guadalajara,D022,Paris 022,2026-06-25,9016.0,26
F030,ANA,Guadalajara,D039,Bangkok 039,2026-07-21,6857.9,14
F031,Air France,Guadalajara,D071,Cancun 071,2026-06-20,12953.849999999999,36
F032,Viva,Guadalajara,D032,Paris 032,2026-06-25,10473.4,24
F033,Aeromexico,Guadalajara,D104,Cusco 104,2026-07-31,15172.849999999999,25
F034,Air France,Guadalajara,D044,Cusco 044,2026-05-23,6037.15,34
F035,Viva,Guadalajara,D012,Paris 012,2026-07-16,13055.0,2
F036,Air France,Guadalajara,D005,Madrid,2026-10-28,4827.549999999999,34
F037,Aeromexico,Guadalajara,D058,Roma 058,2026-04-25,15131.55,30
F038,Aeromexico,Guadalajara,D071,Cancun 071,2026-03-06,10117.8,17
F039,Aeromexico,Guadalajara,D090,Vancouver 090,2026-02-06,12051.55,15
F040,Air France,Guadalajara,D002,Paris,2026-05-23,14052.15,16
F041,Iberia,Guadalajara,D004,Cusco,2026-01-29,14579.949999999999,6
F042,Iberia,Guadalajara,D030,Vancouver 030,2026-04-27,10903.9,24
F043,Iberia,Guadalajara,D026,Los Cabos 026,2026-09-16,14519.749999999998,20
F044,Viva,Guadalajara,D030,Vancouver 030,2026-05-16,5650.049999999999,32
F045,Air France,Guadalajara,D115,Madrid 115,2026-08-02,6507.549999999999,4
F046,Air France,Guadalajara,D004,Cusco,2026-01-27,7372.749999999999,29
F047,Aeromexico,Guadalajara,D094,Cusco 094,2026-03-26,7404.95,30
F048,Iberia,Guadalajara,D040,Vancouver 040,2026-06-19,5649.0,6
F049,Air France,Guadalajara,D011,Cancun 011,2026-03-05,11869.199999999999,20
F050,Air France,Guadalajara,D012,Paris 012,2026-04-11,7577.499999999999,24
F051,Viva,Guadalajara,D004,Cusco,2026-11-17,4082.3999999999996,3
F052,Iberia,Guadalajara,D009,Bangkok 009,2026-04-10,10927.349999999999,18
F053,Iberia,Guadalajara,D079,Bangkok 079,2026-06-12,9971.5,39
F054,Aeromexico,Guadalajara,D004,Cusco,2026-09-01,12015.5,28
F055,Viva,Guadalajara,D017,Bariloche 017,2026-01-05,6620.599999999999,16
F056,Air France,Guadalajara,D111,Cancun 111,2026-07-05,14891.099999999999,26
F057,Aeromexico,Guadalajara,D032,Paris 032,2026-01-18,6835.849999999999,7
F058,Viva,Guadalajara,D034,Cusco 034,2026-02-19,13402.199999999999,15
F059,ANA,Guadalajara,D054,Cusco 054,2026-05-01,9891.699999999999,18
F060,Iberia,Guadalajara,D048,Roma 048,2026-04-12,7410.2,16
F061,Iberia,Guadalajara,D037,Bariloche 037,2026-02-03,8791.3,34
F062,Air France,Guadalajara,D084,Cusco 084,2026-01-19,14039.9,29
F063,Viva,Guadalajara,D006,Los Cabos,2026-03-03,7603.4,24
F064,Aeromexico,Guadalajara,D058,Roma 058,2026-02-24,8142.049999999999,24
F065,Viva,Guadalajara,D019,Bangkok 019,2026-05-11,3410.75,27
F066,Aeromexico,Guadalajara,D024,Cusco 024,2026-04-15,15720.599999999999,5
F067,ANA,Guadalajara,D013,Tokio 013,2026-03-21,6904.45,18
F068,Air France,Guadalajara,D037,Bariloche 037,2026-01-27,12647.949999999999,2
F069,Air France,Guadalajara,D083,Tokio 083,2026-07-27,13108.55,28
F070,Air France,Guadalajara,D106,Los Cabos 106,2026-10-23,13721.75,9
F071,Air France,Guadalajara,D007,Bariloche 007,2026-02-15,14720.999999999998,10
F072,ANA,Guadalajara,D037,Bariloche 037,2026-03-29,5645.15,32
F073,Aeromexico,Guadalajara,D039,Bangkok 039,2026-09-05,12047.349999999999,40
F074,ANA,Guadalajara,D082,Paris 082,2026-07-27,13998.25,37
F075,ANA,Guadalajara,D006,Los Cabos,2026-03-22,5972.4,16
F076,Iberia,Guadalajara,D006,Los Cabos,2026-03-02,10173.8,20
F077,Iberia,Guadalajara,D055,Madrid 055,2026-08-17,7250.249999999999,1
F078,Air France,Guadalajara,D060,Vancouver 060,2026-11-13,7268.799999999999,26
F079,Iberia,Guadalajara,D009,Bangkok 009,2026-08-09,13287.4,33
F080,Aeromexico,Guadalajara,D006,Los Cabos,2026-06-10,4394.599999999999,25
F081,ANA,Guadalajara,D004,Cusco,2026-02-26,14432.249999999998,11
F082,ANA,Guadalajara,D009,Bangkok 009,2026-05-10,9457.349999999999,10
