user_id,friend_id
U001,U002
U002,U003
U003,U004
U004,U005
U005,U006
U006,U007
U007,U008
U008,U009
U009,U010
U010,U011
U011,U012
U012,U013
U013,U014
U014,U015
U015,U016
U016,U017
U017,U018
U018,U019
U019,U020
U020,U021
U021,U022
U022,U023
U023,U024
U024,U025
U025,U026
U026,U027
U027,U028
U028,U029
U029,U030
U030,U031
U031,U032
U032,U033
U033,U034
U034,U035
U035,U036
U036,U037
U037,U038
U038,U039
U039,U040
U040,U041
U041,U042
U042,U043
U043,U044
U044,U045
U045,U046
U046,U047
U047,U048
U048,U049
U049,U050
U050,U051
U051,U052
U052,U053
U053,U054
U054,U055
U055,U056
U056,U057
U057,U058
U058,U059
U059,U060
U060,U061
U061,U062
U062,U063
U063,U064
U064,U065
U065,U066
U066,U067
U067,U068
U068,U069
U069,U070
U070,U071
U071,U072
U072,U073
U073,U074
U074,U075
U075,U076
U076,U077
U077,U078
U078,U079
U079,U080
U080,U081
U081,U082
U082,U083
U083,U084
U084,U085
U085,U086
U086,U087
U087,U088
U088,U089
U089,U090
U090,U091
U091,U092
U092,U093
U093,U094
U094,U095
U095,U096
U096,U097
U097,U098
U098,U099
U099,U100
U100,U101
U101,U102
U102,U103
U103,U104
U104,U105
U105,U106
U106,U107
U107,U108
U108,U109
U109,U110
U110,U111
U111,U112
U112,U113
U113,U114
U114,U115
U115,U116
U116,U117
U117,U118
U118,U119
U119,U120
U120,U001
U001,U008
U002,U009
U003,U010
U004,U011
U005,U012
U006,U013
U007,U014
U008,U015
U009,U016
U010,U017
U011,U018
U012,U019
U013,U020
U014,U021
U015,U022
U016,U023
U017,U024
U018,U025
U019,U026
U020,U027
U021,U028
U022,U029
U023,U030
U024,U031
U025,U032
U026,U033
U027,U034
U028,U035
U029,U036
U030,U037
U031,U038
U032,U039
U033,U040
U034,U041
U035,U042
U036,U043
U037,U044
U038,U045
U039,U046
U040,U047
U041,U048
U042,U049
U043,U050
U044,U051
U045,U052
U046,U053
U047,U054
U048,U055
U049,U056
U050,U057
U051,U058
U052,U059
U053,U060
U054,U061
U055,U062
U056,U063
U057,U064
U058,U065
U059,U066
U060,U067
U061,U068
U062,U069
U063,U070
U064,U071
U065,U072
U066,U073
U067,U074
U068,U075
U069,U076
U070,U077
U071,U078
U072,U079
U073,U080
U074,U081
U075,U082
U076,U083
U077,U084
U078,U085
U079,U086
U080,U087
U081,U088
U082,U089
U083,U090
U084,U091
U085,U092
U086,U093
U087,U094
U088,U095
U089,U096
U090,U097
U091,U098
U092,U099
U093,U100
U094,U101
U095,U102
U096,U103
U097,U104
U098,U105
U099,U106
U100,U107
U101,U108
U102,U109
U103,U110
U104,U111
U105,U112
U106,U113
U107,U114
U108,U115
U109,U116
U110,U117
U111,U118
U112,U119
U113,U120
U114,U001
U115,U002
U116,U003
U117,U004
U118,U005
U119,U006
U120,U007
