hotel_id,activity_id
H001,A001
H002,A006
H003,A002
H004,A003
H005,A004
H006,A005
H007,A007
H008,A008
H009,A009
H010,A010
H011,A011
H012,A012
H013,A013
H014,A014
H015,A015
H016,A016
H017,A017
H018,A018
H019,A019
H020,A020
H021,A021
H022,A022
H023,A023
H024,A024
H025,A025
H026,A026
H027,A027
H028,A028
H029,A029
H030,A030
H031,A031
H032,A032
H033,A033
H034,A034
H035,A035
H036,A036
H037,A037
H038,A038
H039,A039
H040,A040
H041,A041
H042,A042
H043,A043
H044,A044
H045,A045
H046,A046
H047,A047
H048,A048
H049,A049
H050,A050
H051,A051
H052,A052
H053,A053
H054,A054
H055,A055
H056,A056
H057,A057
H058,A058
H059,A059
H060,A060
H061,A061
H062,A062
H063,A063
H064,A064
H065,A065
H066,A066
H067,A067
H068,A068
H069,A069
H070,A070
H071,A071
H072,A072
H073,A073
H074,A074
H075,A075
H076,A076
H077,A077
H078,A078
H079,A079
H080,A080
H081,A081
H082,A082
H083,A083
H084,A084
H085,A085
H086,A086
H087,A087
H088,A088
H089,A089
H090,A090
H091,A091
H092,A092
H093,A093
H094,A094
H095,A095
H096,A096
H097,A097
H098,A098
H099,A099
H100,A100
H101,A101
H102,A102
H103,A103
H104,A104
H105,A105
H106,A106
H107,A107
H108,A108
H109,A109
H110,A110
H111,A111
H112,A112
H113,A113
H114,A114
H115,A115
H116,A116
H117,A117
H118,A118
H119,A119
H120,A120
