hotel_id,hotel_name,destination_id,destination_name,location,country,rating,price,price_range,available_rooms
H001,Hotel Sol Cancun,D001,Cancun,Quintana Roo,Mexico,4.6,2200,medium,12
H002,Resort Mar Azul,D006,Los Cabos,Baja California Sur,Mexico,4.8,5200,luxury,5
H003,Paris Centro Hotel,D002,Paris,Ile de France,Francia,4.5,3100,high,8
H004,Tokio Garden Inn,D003,Tokio,Kanto,Japon,4.3,1800,medium,10
H005,Cusco Andes Lodge,D004,Cusco,Cusco,Peru,4.7,1400,low,14
H006,Madrid Plaza,D005,Madrid,Madrid,Espana,4.4,2100,medium,7
H007,Hotel Bariloche 007,D007,Bariloche 007,Rio Negro,Argentina,4.9,3852,medium,29
H008,Hotel Roma 008,D008,Roma 008,Lazio,Italia,3.7,6532,luxury,38
H009,Hotel Bangkok 009,D009,Bangkok 009,Bangkok,Tailandia,4.1,1971,medium,7
H010,Hotel Vancouver 010,D010,Vancouver 010,British Columbia,Canada,3.9,5356,high,9
H011,Hotel Cancun 011,D011,Cancun 011,Quintana Roo,Mexico,4.2,4752,high,19
H012,Hotel Paris 012,D012,Paris 012,Ile de France,Francia,4.4,1943,medium,7
H013,Hotel Tokio 013,D013,Tokio 013,Kanto,Japon,3.8,5832,high,18
H014,Hotel Cusco 014,D014,Cusco 014,Cusco,Peru,4.5,6366,high,7
H015,Hotel Madrid 015,D015,Madrid 015,Madrid,Espana,4.4,5927,high,7
H016,Hotel Los Cabos 016,D016,Los Cabos 016,Baja California Sur,Mexico,3.7,3011,medium,12
H017,Hotel Bariloche 017,D017,Bariloche 017,Rio Negro,Argentina,4.2,3572,medium,38
H018,Hotel Roma 018,D018,Roma 018,Lazio,Italia,4.4,2164,medium,39
H019,Hotel Bangkok 019,D019,Bangkok 019,Bangkok,Tailandia,3.9,6786,luxury,41
H020,Hotel Vancouver 020,D020,Vancouver 020,British Columbia,Canada,4.5,5879,high,27
H021,Hotel Cancun 021,D021,Cancun 021,Quintana Roo,Mexico,4.4,1998,medium,8
H022,Hotel Paris 022,D022,Paris 022,Ile de France,Francia,3.7,5823,high,17
H023,Hotel Tokio 023,D023,Tokio 023,Kanto,Japon,4.6,5266,high,31
H024,Hotel Cusco 024,D024,Cusco 024,Cusco,Peru,4.3,3773,medium,33
H025,Hotel Madrid 025,D025,Madrid 025,Madrid,Espana,4.0,4162,medium,15
H026,Hotel Los Cabos 026,D026,Los Cabos 026,Baja California Sur,Mexico,4.7,6926,luxury,9
H027,Hotel Bariloche 027,D027,Bariloche 027,Rio Negro,Argentina,4.0,5905,high,35
H028,Hotel Roma 028,D028,Roma 028,Lazio,Italia,4.6,4013,medium,22
H029,Hotel Bangkok 029,D029,Bangkok 029,Bangkok,Tailandia,5.0,6188,high,11
H030,Hotel Vancouver 030,D030,Vancouver 030,British Columbia,Canada,4.2,5393,high,25
H031,Hotel Cancun 031,D031,Cancun 031,Quintana Roo,Mexico,4.9,2445,medium,30
H032,Hotel Paris 032,D032,Paris 032,Ile de France,Francia,4.9,1521,low,8
H033,Hotel Tokio 033,D033,Tokio 033,Kanto,Japon,4.4,5771,high,24
H034,Hotel Cusco 034,D034,Cusco 034,Cusco,Peru,4.6,3986,medium,42
H035,Hotel Madrid 035,D035,Madrid 035,Madrid,Espana,4.4,5268,high,33
H036,Hotel Los Cabos 036,D036,Los Cabos 036,Baja California Sur,Mexico,4.8,1763,low,21
H037,Hotel Bariloche 037,D037,Bariloche 037,Rio Negro,Argentina,4.6,5083,high,8
H038,Hotel Roma 038,D038,Roma 038,Lazio,Italia,4.6,1697,low,23
H039,Hotel Bangkok 039,D039,Bangkok 039,Bangkok,Tailandia,4.4,6501,luxury,32
H040,Hotel Vancouver 040,D040,Vancouver 040,British Columbia,Canada,4.6,3531,medium,26
H041,Hotel Cancun 041,D041,Cancun 041,Quintana Roo,Mexico,4.9,1384,low,26
H042,Hotel Paris 042,D042,Paris 042,Ile de France,Francia,4.5,2576,medium,35
H043,Hotel Tokio 043,D043,Tokio 043,Kanto,Japon,3.9,1682,low,22
H044,Hotel Cusco 044,D044,Cusco 044,Cusco,Peru,4.6,2259,medium,29
H045,Hotel Madrid 045,D045,Madrid 045,Madrid,Espana,4.9,4402,high,35
H046,Hotel Los Cabos 046,D046,Los Cabos 046,Baja California Sur,Mexico,3.8,1860,medium,29
H047,Hotel Bariloche 047,D047,Bariloche 047,Rio Negro,Argentina,4.0,5701,high,12
H048,Hotel Roma 048,D048,Roma 048,Lazio,Italia,4.8,4726,high,21
