itinerary_id,user_id,destination_id,destination_name,start_date,end_date,selected_flight,selected_hotel,status
I001,U098,D026,Los Cabos 026,2026-09-29,2026-10-04,F001,Hotel Los Cabos 026,created
I002,U005,D035,Madrid 035,2026-05-09,2026-05-14,F002,Hotel Madrid 035,created
I003,U014,D066,Los Cabos 066,2026-08-17,2026-08-22,F003,Hotel Los Cabos 066,created
I004,U026,D089,Bangkok 089,2026-06-25,2026-06-30,F004,Hotel Bangkok 089,created
I005,U021,D002,Paris,2026-08-09,2026-08-14,F005,Paris Centro Hotel,created
I006,U059,D077,Bariloche 077,2026-01-24,2026-01-29,F006,Hotel Bariloche 077,created
I007,U042,D034,Cusco 034,2026-10-08,2026-10-13,F007,Hotel Cusco 034,created
I008,U011,D024,Cusco 024,2026-07-15,2026-07-20,F008,Hotel Cusco 024,created
I009,U105,D065,Madrid 065,2026-05-16,2026-05-21,F009,Hotel Madrid 065,created
I010,U081,D051,Cancun 051,2026-06-05,2026-06-10,F010,Hotel Cancun 051,created
I011,U020,D085,Madrid 085,2026-09-11,2026-09-16,F011,Hotel Madrid 085,created
I012,U073,D094,Cusco 094,2026-09-16,2026-09-21,F012,Hotel Cusco 094,created
I013,U107,D018,Roma 018,2026-07-12,2026-07-17,F013,Hotel Roma 018,created
I014,U103,D063,Tokio 063,2026-08-22,2026-08-27,F014,Hotel Tokio 063,created
I015,U109,D096,Los Cabos 096,2026-02-08,2026-02-13,F015,Hotel Los Cabos 096,created
I016,U117,D064,Cusco 064,2026-09-03,2026-09-08,F016,Hotel Cusco 064,created
I017,U084,D077,Bariloche 077,2026-05-11,2026-05-16,F017,Hotel Bariloche 077,created
I018,U087,D063,Tokio 063,2026-04-22,2026-04-27,F018,Hotel Tokio 063,created
I019,U026,D060,Vancouver 060,2026-10-09,2026-10-14,F019,Hotel Vancouver 060,created
I020,U035,D059,Bangkok 059,2026-08-19,2026-08-24,F020,Hotel Bangkok 059,created
I021,U078,D019,Bangkok 019,2026-03-09,2026-03-14,F021,Hotel Bangkok 019,created
I022,U021,D115,Madrid 115,2026-01-13,2026-01-18,F022,Hotel Madrid 115,created
I023,U049,D094,Cusco 094,2026-06-26,2026-07-01,F023,Hotel Cusco 094,created
I024,U119,D097,Bariloche 097,2026-03-03,2026-03-08,F024,Hotel Bariloche 097,created
I025,U010,D009,Bangkok 009,2026-10-29,2026-11-03,F025,Hotel Bangkok 009,created
I026,U120,D014,Cusco 014,2026-11-22,2026-11-27,F026,Hotel Cusco 014,created
I027,U104,D025,Madrid 025,2026-01-15,2026-01-20,F027,Hotel Madrid 025,created
I028,U097,D120,Vancouver 120,2026-11-11,2026-11-16,F028,Hotel Vancouver 120,created
I029,U037,D022,Paris 022,2026-06-25,2026-06-30,F029,Hotel Paris 022,created
I030,U016,D039,Bangkok 039,2026-07-21,2026-07-26,F030,Hotel Bangkok 039,created
I031,U098,D071,Cancun 071,2026-06-20,2026-06-25,F031,Hotel Cancun 071,created
I032,U072,D032,Paris 032,2026-06-25,2026-06-30,F032,Hotel Paris 032,created
I033,U050,D104,Cusco 104,2026-07-31,2026-08-05,F033,Hotel Cusco 104,created
I034,U074,D044,Cusco 044,2026-05-23,2026-05-28,F034,Hotel Cusco 044,created
I035,U052,D012,Paris 012,2026-07-16,2026-07-21,F035,Hotel Paris 012,created
I036,U063,D005,Madrid,2026-10-28,2026-11-02,F036,Madrid Plaza,created
I037,U020,D058,Roma 058,2026-04-25,2026-04-30,F037,Hotel Roma 058,created
