package_id,destination_id,destination_name,location,hotel_id,hotel_name,airline_name,final_price,season
P001,D026,Los Cabos 026,Baja California Sur,H026,Hotel Los Cabos 026,Iberia,28002,summer
P002,D035,Madrid 035,Madrid,H035,Hotel Madrid 035,Aeromexico,10208,spring
P003,D066,Los Cabos 066,Baja California Sur,H066,Hotel Los Cabos 066,Viva,41440,winter
P004,D089,Bangkok 089,Bangkok,H089,Hotel Bangkok 089,Viva,35522,summer
P005,D002,Paris,Ile de France,H003,Paris Centro Hotel,Iberia,14536,spring
P006,D077,Bariloche 077,Rio Negro,H077,Hotel Bariloche 077,Iberia,19324,summer
P007,D034,Cusco 034,Cusco,H034,Hotel Cusco 034,Iberia,11257,summer
P008,D024,Cusco 024,Cusco,H024,Hotel Cusco 024,Iberia,27279,winter
P009,D065,Madrid 065,Madrid,H065,Hotel Madrid 065,Aeromexico,18428,spring
P010,D051,Cancun 051,Quintana Roo,H051,Hotel Cancun 051,Iberia,14536,summer
P011,D085,Madrid 085,Madrid,H085,Hotel Madrid 085,Iberia,18486,fall
P012,D094,Cusco 094,Cusco,H094,Hotel Cusco 094,ANA,24069,spring
P013,D018,Roma 018,Lazio,H018,Hotel Roma 018,Aeromexico,12327,winter
P014,D063,Tokio 063,Kanto,H063,Hotel Tokio 063,Aeromexico,41962,spring
P015,D096,Los Cabos 096,Baja California Sur,H096,Hotel Los Cabos 096,Iberia,24386,fall
P016,D064,Cusco 064,Cusco,H064,Hotel Cusco 064,Aeromexico,12063,fall
P017,D077,Bariloche 077,Rio Negro,H077,Hotel Bariloche 077,Iberia,17745,fall
P018,D063,Tokio 063,Kanto,H063,Hotel Tokio 063,Aeromexico,28061,winter
P019,D060,Vancouver 060,British Columbia,H060,Hotel Vancouver 060,Aeromexico,14626,fall
P020,D059,Bangkok 059,Bangkok,H059,Hotel Bangkok 059,ANA,22751,winter
P021,D019,Bangkok 019,Bangkok,H019,Hotel Bangkok 019,Iberia,16384,fall
P022,D115,Madrid 115,Madrid,H115,Hotel Madrid 115,Air France,41223,spring
P023,D094,Cusco 094,Cusco,H094,Hotel Cusco 094,Air France,16923,fall
P024,D097,Bariloche 097,Rio Negro,H097,Hotel Bariloche 097,Air France,9768,summer
P025,D009,Bangkok 009,Bangkok,H009,Hotel Bangkok 009,Air France,37052,fall
P026,D014,Cusco 014,Cusco,H014,Hotel Cusco 014,Iberia,25339,summer
P027,D025,Madrid 025,Madrid,H025,Hotel Madrid 025,Air France,44994,winter
P028,D120,Vancouver 120,British Columbia,H120,Hotel Vancouver 120,Air France,27756,summer
P029,D022,Paris 022,Ile de France,H022,Hotel Paris 022,Air France,25760,fall
P030,D039,Bangkok 039,Bangkok,H039,Hotel Bangkok 039,ANA,19594,summer
P031,D071,Cancun 071,Quintana Roo,H071,Hotel Cancun 071,Air France,37011,winter
P032,D032,Paris 032,Ile de France,H032,Hotel Paris 032,Viva,29924,spring
P033,D104,Cusco 104,Cusco,H104,Hotel Cusco 104,Aeromexico,43351,winter
P034,D044,Cusco 044,Cusco,H044,Hotel Cusco 044,Air France,17249,fall
P035,D012,Paris 012,Ile de France,H012,Hotel Paris 012,Viva,37300,winter
P036,D005,Madrid,Madrid,H006,Madrid Plaza,Air France,13793,spring
P037,D058,Roma 058,Lazio,H058,Hotel Roma 058,Aeromexico,43233,summer
P038,D071,Cancun 071,Quintana Roo,H071,Hotel Cancun 071,Aeromexico,28908,spring
P039,D090,Vancouver 090,British Columbia,H090,Hotel Vancouver 090,Aeromexico,34433,summer
P040,D002,Paris,Ile de France,H003,Paris Centro Hotel,Air France,40149,summer
P041,D004,Cusco,Cusco,H005,Cusco Andes Lodge,Iberia,41657,summer
P042,D030,Vancouver 030,British Columbia,H030,Hotel Vancouver 030,Iberia,31154,spring
P043,D026,Los Cabos 026,Baja California Sur,H026,Hotel Los Cabos 026,Iberia,41485,summer
P044,D030,Vancouver 030,British Columbia,H030,Hotel Vancouver 030,Viva,16143,fall
P045,D115,Madrid 115,Madrid,H115,Hotel Madrid 115,Air France,18593,spring
P046,D004,Cusco,Cusco,H005,Cusco Andes Lodge,Air France,21065,spring
P047,D094,Cusco 094,Cusco,H094,Hotel Cusco 094,Aeromexico,21157,summer
P048,D040,Vancouver 040,British Columbia,H040,Hotel Vancouver 040,Iberia,16140,summer
P049,D011,Cancun 011,Quintana Roo,H011,Hotel Cancun 011,Air France,33912,summer
P050,D012,Paris 012,Ile de France,H012,Hotel Paris 012,Air France,21650,winter
P051,D004,Cusco,Cusco,H005,Cusco Andes Lodge,Viva,11664,winter
P052,D009,Bangkok 009,Bangkok,H009,Hotel Bangkok 009,Iberia,31221,spring
P053,D079,Bangkok 079,Bangkok,H079,Hotel Bangkok 079,Iberia,28490,fall
