reservation_id,activity_id,activity_name,destination_name,category,price
R001,A026,Museo Los Cabos 026,Los Cabos 026,playa,2083
R002,A035,Cata regional Madrid 035,Madrid 035,ciudad,2004
R003,A066,Paseo en yate Los Cabos 066,Los Cabos 066,playa,2054
R004,A089,Clase de cocina Bangkok 089,Bangkok 089,ciudad,2358
R005,A002,Museo Louvre,Paris,ciudad,650
R006,A077,Clase de cocina Bariloche 077,Bariloche 077,montana,594
R007,A034,Tour fotografico Cusco 034,Cusco 034,montana,1235
R008,A024,Bicicleta Cusco 024,Cusco 024,montana,1313
R009,A065,Clase de cocina Madrid 065,Madrid 065,ciudad,2128
R010,A051,Tour urbano Cancun 051,Cancun 051,playa,1166
R011,A085,Snorkel Madrid 085,Madrid 085,ciudad,1309
R012,A094,Tour fotografico Cusco 094,Cusco 094,montana,485
R013,A018,Paseo en yate Roma 018,Roma 018,ciudad,2331
R014,A063,Tour urbano Tokio 063,Tokio 063,ciudad,329
R015,A096,Bicicleta Los Cabos 096,Los Cabos 096,playa,1992
R016,A064,Senderismo Cusco 064,Cusco 064,montana,1634
R017,A077,Clase de cocina Bariloche 077,Bariloche 077,montana,594
R018,A063,Tour urbano Tokio 063,Tokio 063,ciudad,329
R019,A060,Bicicleta Vancouver 060,Vancouver 060,naturaleza,1554
R020,A059,Cata regional Bangkok 059,Bangkok 059,ciudad,1710
R021,A019,Ruta historica Bangkok 019,Bangkok 019,ciudad,2434
R022,A115,Ruta historica Madrid 115,Madrid 115,ciudad,1226
R023,A094,Tour fotografico Cusco 094,Cusco 094,montana,485
R024,A097,Snorkel Bariloche 097,Bariloche 097,montana,546
R025,A009,Mirador Bangkok 009,Bangkok 009,ciudad,364
R026,A014,Museo Cusco 014,Cusco 014,montana,2347
R027,A025,Snorkel Madrid 025,Madrid 025,ciudad,1079
R028,A120,Bicicleta Vancouver 120,Vancouver 120,naturaleza,991
R029,A022,Tour fotografico Paris 022,Paris 022,ciudad,1264
R030,A039,Tour urbano Bangkok 039,Bangkok 039,ciudad,751
R031,A071,Cata regional Cancun 071,Cancun 071,playa,1460
R032,A032,Mercado local Paris 032,Paris 032,ciudad,1544
R033,A104,Mercado local Cusco 104,Cusco 104,montana,522
R034,A044,Mercado local Cusco 044,Cusco 044,montana,812
R035,A012,Bicicleta Paris 012,Paris 012,ciudad,1583
R036,A005,Museo Prado,Madrid,ciudad,400
R037,A058,Tour fotografico Roma 058,Roma 058,ciudad,1051
R038,A071,Cata regional Cancun 071,Cancun 071,playa,1460
R039,A090,Paseo en yate Vancouver 090,Vancouver 090,naturaleza,2275
R040,A002,Museo Louvre,Paris,ciudad,650
R041,A004,Machu Picchu,Cusco,montana,1200
R042,A030,Paseo en yate Vancouver 030,Vancouver 030,naturaleza,1857
R043,A026,Museo Los Cabos 026,Los Cabos 026,playa,2083
R044,A030,Paseo en yate Vancouver 030,Vancouver 030,naturaleza,1857
R045,A115,Ruta historica Madrid 115,Madrid 115,ciudad,1226
R046,A004,Machu Picchu,Cusco,montana,1200
