user_id,activity_id
U001,A001
U002,A002
U003,A003
U004,A004
U005,A005
U006,A006
U007,A007
U008,A008
U009,A009
U010,A010
U011,A011
U012,A012
U013,A013
U014,A014
U015,A015
U016,A016
U017,A017
U018,A018
U019,A019
U020,A020
U021,A021
U022,A022
U023,A023
U024,A024
U025,A025
U026,A026
U027,A027
U028,A028
U029,A029
U030,A030
U031,A031
U032,A032
U033,A033
U034,A034
U035,A035
U036,A036
U037,A037
U038,A038
U039,A039
U040,A040
U041,A041
U042,A042
U043,A043
U044,A044
U045,A045
U046,A046
U047,A047
U048,A048
U049,A049
U050,A050
U051,A051
U052,A052
U053,A053
U054,A054
U055,A055
U056,A056
U057,A057
U058,A058
U059,A059
U060,A060
U061,A061
U062,A062
U063,A063
U064,A064
U065,A065
U066,A066
U067,A067
U068,A068
U069,A069
U070,A070
U071,A071
U072,A072
U073,A073
U074,A074
U075,A075
U076,A076
U077,A077
U078,A078
U079,A079
U080,A080
U081,A081
U082,A082
U083,A083
U084,A084
U085,A085
U086,A086
U087,A087
U088,A088
U089,A089
U090,A090
U091,A091
U092,A092
U093,A093
U094,A094
U095,A095
U096,A096
U097,A097
U098,A098
U099,A099
U100,A100
U101,A101
U102,A102
U103,A103
U104,A104
U105,A105
U106,A106
U107,A107
U108,A108
U109,A109
U110,A110
U111,A111
U112,A112
U113,A113
U114,A114
U115,A115
U116,A116
U117,A117
U118,A118
U119,A119
U120,A120
U001,A012
U002,A013
U003,A014
U004,A015
U005,A016
U006,A017
U007,A018
U008,A019
U009,A020
U010,A021
U011,A022
U012,A023
U013,A024
U014,A025
U015,A026
U016,A027
U017,A028
U018,A029
U019,A030
U020,A031
U021,A032
U022,A033
U023,A034
U024,A035
U025,A036
U026,A037
U027,A038
U028,A039
U029,A040
U030,A041
U031,A042
U032,A043
U033,A044
U034,A045
U035,A046
U036,A047
U037,A048
U038,A049
U039,A050
U040,A051
U041,A052
U042,A053
U043,A054
U044,A055
U045,A056
U046,A057
U047,A058
U048,A059
U049,A060
U050,A061
U051,A062
U052,A063
U053,A064
U054,A065
U055,A066
U056,A067
U057,A068
U058,A069
U059,A070
U060,A071
U061,A072
U062,A073
U063,A074
U064,A075
U065,A076
U066,A077
U067,A078
U068,A079
U069,A080
U070,A081
U071,A082
U072,A083
U073,A084
U074,A085
U075,A086
U076,A087
U077,A088
U078,A089
U079,A090
U080,A091
U081,A092
U082,A093
U083,A094
U084,A095
U085,A096
U086,A097
U087,A098
U088,A099
U089,A100
U090,A101
U091,A102
U092,A103
U093,A104
U094,A105
U095,A106
U096,A107
U097,A108
U098,A109
U099,A110
U100,A111
U101,A112
U102,A113
U103,A114
U104,A115
U105,A116
U106,A117
U107,A118
U108,A119
U109,A120
U110,A001
U111,A002
U112,A003
U113,A004
U114,A005
U115,A006
U116,A007
U117,A008
U118,A009
U119,A010
U120,A011
